ICT Occupational Role	Purpose 	Activities	Skills & aptitudes	Expected growth	Minimum Education Requirements	Salary (median)	Length of Training	Cost of Training	Relevant Training Organizations	Exciting quote	Source	PurposeBrief	PurposeTag	
														0
2. SPREADERS														0
Digital/Web Marketers 	Promotes brands, products, and causes using digital channels (the web, social media, email, games & applications).	*Ensures digital marketing campaign will fulfill promotional needs *Conducts market research  *Designs digital marketing strategy  *Selects digital media channels *Creates and places written/visual advertising content  *Negotiates advertising contracts *Monitors effectiveness of campaigns *Coordinates tasks with product managers, graphic designers, copy writers, advertising partners, software/web developers   	*Technical knowledge relevant to marketing fundamentals, digital channels, search engine optimization, web analytics, strategic messaging, writing and visual design * Product and industry specific knowledge * Project & time management skills * Problem solving/analytic skills * Communication skills * Creative 	14% by 2020	Bachelors degree in communications, marketing, business administration  Or associates degree combined with additional field certifications and previous work experience	Web Marketer (experienced) $109,000   Web Marketer (entry): $73,000 						Promotes brands, products, and causes using digital channels (social media, games & TV).	Modern marketers, online	88
Online Community Builders 	Grows an engaged online community through digital channels (the web, social media, email, games & applications) for a business, organization, or cause.	* Ensures community building will fulfill client/employer's needs * Identifies target community  * Creates digital community building strategy * Develops written/visual content to attract community members * Responds to user inqueries * Monitors effectiveness of community building activities  *Coordinates tasks with marketers, copy writers, graphic designers, program managers 	* Technical knowledge relevant to communications and marketing, digital channels, writing & visual design, coding basics useful  *Understanding of topics of interest to online community * Project & time management skills * Problem solving/analytic skills * Communication skills * Creative  	no data - researching further	Bachelors degree in communications, marketing, journalism, or related field  Or associates degree combined with additional field certifications and previous work experience	no data- researching further					http://wastewise.be/2014/02/job-description-online-community-builder/  http://alenasystems.com/solutions/onlinecommunitybuilder	Grows an engaged online community through digital channels for orgs, causes, business	Manages online communities	85
Tech Product  Sales Managers	Maximizes sales of a tech product/service.	*Ensures tech product sales will meet client/employer's targets *Identifies target customer market *Creates and implements sales strategy  *Pitches and promotes product *Secures and closes out sales deals *Relays customer feedback  *Forecasts future sales *Monitors effectiveness of sales strategy *Coordinates tasks with marketers, product managers, financial planners 	*Technical knowlede relevant to marketing/finance, sales forecasting, new business development * Product and industry specific knowledge * business acumen * Project & time management skills * Problem solving/analytic skills * Customer service orientation * Communication & negotiation skills * Creative	5% by 2020	Bachelor’s degree in marketing, finance, business, or another relevant field  Or associates degree combined with additional  work experience	Product Sales Manager (experienced): $100,000   Product Sales Manager (entry): $73,000 					http://www.bls.gov/ooh/management/sales-managers.htm  http://www.payscale.com/research/US/Job=Sales_Manager/Salary	Maximizes sales of a tech product/service.	Gets products to customers	42
														0
3. SUPPORTERS														0
IT Support / Help Desk Specialists	Provides crucial help and advice to users of computer software or hardware.	* Responds to user calls, emails, visits * Asks users questions to diagnose problems they are experiencing *Walks user through recommended problem-solving steps * Sets up or repair software & hardware * Trains users how to use software & hardware * Logs calls and keep records of previous customer contacts * Monitors trends among software & harware problems	Technical knowledge relevant to computer & network systems, software, hardware products, troubleshooting and diagnostic skills *Willingness to keep up with latest IT trends  *Communication skills, and ability to explain technical solutions clearly * Time management skills * Problem solving/analytic skills * Customer service skills  	17% by 2020	Associate’s degree in computer information systems (CIS), computer science, help desk administration, technical support, and network administration; Bachelor’s degree sometimes preferred  Or high school diploma or equivalent with significant certification in IT support and work experience	IT Support/Help Desk Specialist (experienced): $80,000   IT Support/Help Desk Specialist (entry): $50,000 					http://study.com/articles/How_to_Become_a_Help_Desk_Analyst_Education_and_Career_Roadmap.html  http://smallbusiness.chron.com/customer-service-skills-desk-professional-41665.html  http://www.bls.gov/ooh/computer-and-information-technology/computer-support-specialists.htm#tab-1	Provides crucial help and advice to users of computer software or hardware.	Desktop support, not like the IT Crowd	75
Database Administrators 	Establishes and maintains database systems to store important information for an organization.	* Understands need for creating database * Selects and sets up database platform * Merges old databases into new ones * Ensures database operates efficiently * May enable databases to be web-based * Regularly updates / improves database  * Ensures that data is secure /backed up * Monitors problems and usage * Trains users how to use database 	Technical knowledge relevent to database systems, web interfacing, troubleshooting, security, proficiency in database-relevant coding languages (SQL) * Problem solving/analytic skills * Time management skills * Communication skills * Detail-oriented * Customer service skills  	15% by 2020	Bachelor’s degree in management information systems (MIS), computer science, database management, or a computer-related field  Or Associates degree combined with additional field certifications and previous work experience 	Database Administrator (experienced): $106,000   Database Administrator (entry): $68,000 					http://www.snagajob.com/job-descriptions/database-administrator/  https://www.mymajors.com/career/database-administrators/skills/  http://work.chron.com/skills-needed-database-administrator-10356.html  http://www.bls.gov/ooh/computer-and-information-technology/mobile/database-administrators.htm	Builds and maintains database systems to store important information for an organization.	Manages databases across the web and office	89
Privacy/ Information Security Operators 	Establishes and maintains security systems to protect an organization's computer networks.	*Understands security needs * Selects and sets up security systems (firewalls & data encryption programs) *Ensures security systems operate efficiently *Regularly updates/improves systems *Simulates cyber attacks to look for vulnerabilities in systems   *Trains users how to use security systems *Monitors and investigates security breaches 	Technical knowledge relevant to computer and network systems security, security software products, vulnerability management, security policies and regulations, coding, troubleshooting * Problem solving/analytic skills * Time management skills * Communication skills * Detail-oriented * Customer service skills	22% by 2020	Bachelor’s degree in computer science, programming, information science, or computer systems analysis, engineering  Or Associates degree combined with additional field certifications and previous work experience	Information Security Operator (experienced): $108,000   Information Security Operator (entry):$72,000 					http://www.computersciencedegreehub.com/information-security-analyst/  http://www.bls.gov/ooh/computer-and-information-technology/information-security-analysts.htm	Establishes and maintains security systems to protect computer networks. (OpSec)	Keeps systems safe from hackers	80
Tele-communications  Technicians	Sets up and maintains devices or equipment that carry communications signals, connect to telephone lines, or the internet.	*Understands user's telecommunication needs *Sets up telecomm hardware and software in homes and businesses *Diagnoses, repairs, replaces problematic equipment *Improves network connections *Keeps records of maintanance, repairs, installations, problem trends *Demonstrates and explains equipment use to customers	*Technical knowledge relevant to telecommunications installation and maintenance (hardware & software), troubleshooting, diagnostics * Ability to interpret technical material in manuals * Problem solving/analytic skills * Time management skills * Communication skills * Detail-oriented * Customer service skills 	4% by 2020	Post secondary (typically Associates degree) in  electronics, telecommunications, or computer science;  or post secondary certification with previous work experience	Tele-communications Technician: $62,000 					https://www.ohio.edu/hr/compensation/descriptions/upload/Telecommunications_technician_1.pdf  http://study.com/articles/Telecommunication_Technician_Overview_of_a_Career_in_Telecommunications.html  http://www.bls.gov/ooh/installation-maintenance-and-repair/mobile/telecommunications-equipment-installers-and-repairers-except-line-installers.htm	Sets up and maintains devices or equipment that carry communications signals (VOIP)	Manages phone systems and comms	83
Network and Computer System Administrators	Oversees the day-to-day operations of network and computer systems in an organization such as servers, desktop, and mobile equipment.	*Determines what the organization needs in a network before it is designed by network engineer *Install or oversee installation of network hardware and software *Maintain network and computer system security *Collect data to evaluate the system's performance *Add users to network and assign security permissions *Train users on proper use of hardware and software *Troubleshoot and solve problems as they arise	*Technical knowledge:  installation and maintenance of network and computer system software and hardware; electronics; systems analysis and security;  troubleshooting & diagnostics; scripting/coding; automation of tasks *Critical thinking/analytic skills *Strong communication skills *Customer service skills 	12% by 2020	Bachelors degree in computer science, networking, information technology or related field  Or associates degree combined with additional field certifications (many offered by companies for their networking and computing products) and previous work experience	 Systems Administrator (experienced): $105,000  Systems Administrator (entry): $69,000 					http://www.careerinfonet.org/occ_rep.asp?next=occ_rep&Level=&optstatus=111111111&id=1&nodeid=2&stfips=48&jobfam=15&soccode=151142   http://www.bls.gov/ooh/computer-and-information-technology/mobile/network-and-computer-systems-administrators.htm	Oversees the day-to-day operations of network and computer systems (SysAdmin)	System Admins keep everything running	77
														0
4. USERS														0
Data Entry Clerks	Enters text-based and numeric information into a computerised database, often from paper documents, to ensure accurate, secure, and comprehensive record keeping.  	*Organizes source data (often paper-based) *Enters data via keyboard or optical scanner *Reviews and corrects data *Keeps information secure and confidential	* Computer literate * Proficiency in Microsoft Excel and database platforms * Efficient typing skills * Detail-oriented  * Customer service skills * Ability to handle sensitive or private information	(-) 25% by 2020	High school diploma or equivalent	Data Entry Clerk: $32,000						Enters information into a computerised database, often from paper documents.	Data entry	76
Content Moderators 	Flags and moderates user-generated online content that may contain obscene remarks, spamming, defamatory comments, and copyright infringements to help a business  maintain its reputation and values.	*Reviews and moderates all user-generated content on online platforms *Tracks and removes banned users *Liases with legal team to ensure moderation guidelines are updated and compliant *Reports any relevant moderation trends, issues, and outcomes	*Computer literate *Familiar with online user platforms *Customer service skills *Attention to detail  *Calm under pressure, diplomatic *Comfort handling disturbing online content *Familiarity with codes of online conduct	no data 	Bachelors or associates degree preferred	Content Moderator: $34,000					http://blaisegv.com/community-management/6-types-of-content-moderation-you-need-to-know-about/  http://blaisegv.com/community-manager-careers/online-community-moderator-job-description/	Flags and moderates user-generated content that may be obscene, defamatory, or illegal	Manages content and brand	86
Switchboard Operators	Operates telephone systems or switchboards to relay incoming, outgoing, and interoffice calls. 	* Answers telephone calls * Transfers calls to the requested party / determines where the call should be directed * Transcribes callers' names, contact information and reason for calling * Answers basic questions about the company/organization  * Monitors the phone system's efficiency  * May perform administrative tasks  	*Ability to operate phone systems *Pleasant demeanor *Customer service skills *Strong written and verbal communication skills *Fluency in Engligh and other languages used by callers *Detail oriented 	(-) 20% by 2020	High school diploma or equivalent 	Switchboard Operator: $30,000					http://work.chron.com/job-duties-switchboard-operator-15842.html	Operates telephone systems or switchboards to manage telephone calls. 	Manages phone services	70
Administrative Assistants	Performs clerical and administrative duties necessary to run an efficient organization.	*Greets visitors and callers *Resolves information requests *Handles incoming and outgoing mail *Compiles/enters data for expense reports *Prepares memos, invoices, or other documents *Schedules travel and meetings *Coordinates use of shared office space *Maintains paper and electronic files *Buys office supplies	*Computer literate, including proficiency in Microsoft Office Suite (Word, Excel) *Pleasant demeanor *Efficient typing skills *Strong organizational skills *Strong written and verbal communication skills *Fluency in English *Basic accounting skills *Ability to handle sensitive or private information	(-) 3% by 2020	High school diploma or equivalent 	Administrative Assistant: $44,799					http://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm  http://www.payscale.com/research/US/Job=Administrative_Assistant/Hourly_Rate	Performs clerical and administrative duties necessary to run an efficient organization.	Provides support in  modern office	87
